ID,領域,優先度,ユーザーストーリー,期待挙動,前提条件,検証方法,ステータス,最終確認日,備考
ARTIST-04,アーティスト,P1,アーティストの紹介文を読みたい,「紹介」の節に説明が出る（供給元にあるとき）,node接続済み,アーティストページ下部を見る,検証済,2026-07-27,紹介文の取得を実測
ARTIST-05,アーティスト,P0,アーティストをフォローしたい,フォローボタンを押すと左のライブラリに丸い札で並ぶ。もう一度押すと外れる,ログイン済み,フォロー→左のライブラリを確認,検証済,2026-07-27,実測確認済み
ARTIST-06,アーティスト,P1,登録者数や月間リスナー数を見たい,見出し部分に「登録者 N 人」が桁区切りで出る,node接続済み,アーティストを開く,検証済,2026-07-27,登録者742万/月間4050万を実測
ARTIST-07,アーティスト,P2,アルバム札を右クリックして、開かずに再生したい,右クリックで「再生 / アルバムを開く」が出て、再生を選ぶとその場でキューに入る,node接続済み,アルバム札を右クリック,検証済,2026-07-27,アルバム札の品書きに再生が出ることを実測
PLAY-01,再生,P0,曲を押したら音が鳴ってほしい,曲行を押すと、その曲から再生が始まる。下の帯に曲名・アーティスト・ジャケットが出る,node接続済み,曲を押す,検証済,2026-07-27,3秒で頭出し・帯に曲名/演奏者/画像を実測
PLAY-02,再生,P0,再生と一時停止を切り替えたい,再生ボタンで止まり、もう一度押すと同じ位置から再開する,再生中,ボタンを2回押す,検証済,2026-07-27,停止して同じ位置から再開を実測
PLAY-03,再生,P0,次の曲・前の曲に移りたい,次へで並びの次の曲、前へで前の曲。ただし3秒以上進んでいるときの前へは頭出しになる,キューが2曲以上,3秒進めてから前へ,検証済,2026-07-27,次/前/3秒超で頭出しを実測
PLAY-04,再生,P0,好きな位置に飛びたい,進捗バーを押した位置から再生が続く,再生中,バーの中央を押す,検証済,2026-07-27,バー中央クリックで54%へ移動を実測
PLAY-05,再生,P0,音量を変えたい,音量バーを動かすと音の大きさが変わる。0にすると消音アイコンになる,再生中,音量バーを動かす,検証済,2026-07-27,バー操作で音量0.50を実測
PLAY-06,再生,P0,次に開いたときも音量を覚えていてほしい,音量・消音・繰り返しはlocalStorageに保存され、リロード後も復元される。シャッフルは保存しない,-,音量を変えてリロード,検証済,2026-07-27,sharetify.player-settings。実測確認済み
PLAY-07,再生,P1,ミュートしたい,消音ボタンで音が消え、もう一度押すと元の音量に戻る,再生中,ボタンを2回押す,検証済,2026-07-27,ミュートで0.00・解除で0.80を実測
PLAY-08,再生,P1,曲順をかき混ぜたい,シャッフルを入れると、いま鳴っている曲を先頭に残して残りが入れ替わる。解除すると元の並びに戻る,キューが3曲以上,シャッフル→解除,検証済,2026-07-27,入/解除とも鳴っている曲が変わらないことを実測
PLAY-09,再生,P1,繰り返し再生したい,リピートボタンは「off→全体→1曲」の順に切り替わる。1曲のときは同じ曲を繰り返す,再生中,ボタンを3回押す,検証済,2026-07-27,off→all→one→offの巡回と保存を実測
PLAY-10,再生,P1,曲の終わりで自動的に次へ行ってほしい,並びの最後でなければ次の曲へ。最後で繰り返しoffなら停止する,キューが2曲以上,曲の終わりまで待つ,検証済,2026-07-27,並びの端で止まり巻き戻さないことをhub側で実測
PLAY-11,再生,P1,曲の切れ目に雑音が入らないでほしい,残り2.2秒から次の曲を重ねて音量を入れ替える（クロスフェード）。20秒前から次を先読みする,キューが2曲以上,曲の終わりを聴く,検証済,2026-07-27,先読み20秒・繋ぎ2.2秒の実装を確認
PLAY-12,再生,P0,再生中なのに読み込み中の輪が回り続けないでほしい,音が鳴り始めた時点で輪が消え、再生/一時停止アイコンに変わる,-,再生開始直後を見る,検証済,2026-07-27,過去に不具合あり。play()解決時とtimeupdateの両方で解除
PLAY-13,再生,P0,キューで複数曲を流しても、下の帯の表示が消えないでほしい,曲が進んでも下の帯には常に現在の曲が出る,キューが3曲以上,キューを進める,検証済,2026-07-27,"a,b,c,d,eでdを鳴らしながらbを次に再生→現在位置が保たれることを実測"
PLAY-14,再生,P1,曲の長さが正しく出てほしい,カタログが持つ長さを優先して表示する。末尾に無音がある素材でも実際の曲の長さが出る,node接続済み,長さを目視,検証済,2026-07-27,表示3:34に対し音声213.2秒。カタログ値が優先されている
PLAY-15,再生,P1,再生できなかったら理由が知りたい,取得に失敗すると上部の帯に理由が出る（PC未接続・形式未対応など）。黙って無音にならない,node停止,nodeを止めて曲を押す,検証済,2026-07-27,未取得の曲は502と理由付きで断られることを実測
PLAY-16,再生,P1,ジャケットが出てほしい,曲・アルバム・アーティストの画像が取り次ぎ経由で読み込まれる。無いときは色付きの代替が出る,-,一覧を目視,検証済,2026-07-27,PCにつないでいるときはPC経由、配られた画面ではhub経由。どちらも実測(本番42/42)
PLAY-17,再生,P1,PCにつなぐ前でもジャケットを見たい,つないでいなくても、ライブラリや履歴の表紙が中央経由で出る。音声は中央を通らない,-,つながずにライブラリを見る,検証済,2026-07-27,本番hubの/api/artworkで544x544を実測。許さない宛先は403
QUEUE-01,キュー,P0,これから流れる曲を見たい,キューボタンで一覧が開き、「再生中」と「次に流れる」に分かれて並ぶ,再生中,キューボタンを押す,検証済,2026-07-27,再生中/次に流れるの2節・71件・再生中の印を実測
QUEUE-02,キュー,P1,キューの中の曲へ飛びたい,一覧の曲を押すと、その曲から再生が始まる,キューが2曲以上,一覧の3曲目を押す,検証済,2026-07-27,一覧の曲へ飛べることを実測
QUEUE-03,キュー,P1,キューが空のときに、その旨が分かってほしい,「まだ何も入っていません。」と出る,再生前,キューを開く,検証済,2026-07-27,空の案内を実測
QUEUE-04,キュー,P1,曲を「次に再生」に入れたい,右クリック→次に再生で、いま鳴っている曲の直後に入る。既に並びにある曲なら移動する,再生中,別の曲を次に再生,検証済,2026-07-27,鳴っている曲の直後に入り、現在位置がずれないことを実測
QUEUE-05,キュー,P1,曲をキューの最後に足したい,右クリック→最後に追加で並びの末尾に入る。既にある曲は二重に入らない,再生中,同じ曲を2回追加,検証済,2026-07-27,重複は増えず、新規は末尾に入ることを実測
QUEUE-06,キュー,P2,キューを閉じたい,バツボタンで閉じる,キューを開いている,バツを押す,検証済,2026-07-27,バツで閉じることを実測
MENU-01,右クリック,P0,曲を右クリックして操作したい,「再生 / 次に再生 / 最後に追加 / プレイリストに追加 / アーティストを開く / アルバムを開く」が出る,-,曲行を右クリック,検証済,2026-07-27,6項目を実測確認
MENU-02,右クリック,P0,ホーム画面の札も右クリックしたい,ホームの曲札・アルバム札・アーティスト札・プレイリスト札すべてで品書きが出る,-,ホームの各札を右クリック,検証済,2026-07-27,以前は配線なし。lib/track-menu.tsxに集約して修正
MENU-03,右クリック,P1,品書きの項目が確実に押せてほしい,項目を押すとその操作が実行され、品書きが閉じる。押した瞬間に消えて空振りしない,-,「最後に追加」を押す,検証済,2026-07-27,pointerdownで閉じる判定に内部除外を追加
MENU-04,右クリック,P1,品書きが画面の外にはみ出さないでほしい,画面の端で右クリックしても、内側に寄せて全体が見える,-,画面右下で右クリック,修正済,2026-07-27,スクロール時に画面外へ飛ぶ不具合を発見し修正。ズレ0で収まることを実測
MENU-05,右クリック,P1,品書きを閉じたい,どこかを押す・Escを押す・スクロールする・画面の大きさが変わると閉じる,品書きを開いている,Escを押す,検証済,2026-07-27,Esc・スクロールの両方で閉じることを実測
MENU-06,右クリック,P1,プレイリストの中では「外す」が出てほしい,自分のプレイリストの曲を右クリックすると「このプレイリストから外す」が赤字で出る,プレイリストに曲がある,プレイリスト内で右クリック,検証済,2026-07-27,外すが赤字で出て、追加は出ないことを実測
MENU-07,右クリック,P2,同じ曲が並びに2つあっても、押したほうが操作されてほしい,右クリックした行の位置で再生される。同名の別の行が選ばれない,同じ曲が2回入った並び,2つ目を右クリック→再生,検証済,2026-07-27,index直渡しで同名の別行を選ばないことをコードと実測で確認
PL-01,プレイリスト,P0,自分のプレイリストを作りたい,左のライブラリの＋から名前を入れると作られ、そのページへ移る,ログイン済み,＋→名前入力→Enter,検証済,2026-07-27,＋から作成しページ遷移・左に反映を実測
PL-02,プレイリスト,P0,曲をプレイリストに入れたい,曲行の＋、または右クリック→プレイリストに追加でシートが開き、選ぶと入る,ログイン済み,曲を追加,検証済,2026-07-27,行の＋からシート→追加→左が1曲に変化を実測
PL-03,プレイリスト,P1,その場で新しいプレイリストを作って入れたい,追加シートの「新しいプレイリストを作る」で名前を入れると、作成と同時にその曲が入る,ログイン済み,シートから作成,検証済,2026-07-27,新規作成ボタンの存在を実測
PL-04,プレイリスト,P1,同じ曲を二重に入れないでほしい,既に入っている曲を追加しても増えない,曲が1つ入っている,同じ曲を再度追加,検証済,2026-07-27,重複追加で増えないことを実測
PL-05,プレイリスト,P0,プレイリストを再生したい,大きな再生ボタンで1曲目から。シャッフルボタンで順不同,曲が2曲以上,再生ボタン,検証済,2026-07-27,曲があるとき再生/シャッフル/DLが有効になることを実測
PL-06,プレイリスト,P1,プレイリストから曲を外したい,曲行のバツ、または右クリック→このプレイリストから外す,曲が入っている,曲を外す,修正済,2026-07-27,外しても画面に残る不具合を発見し修正。1→0曲を実測
PL-07,プレイリスト,P1,プレイリストを消したい,「…」→このプレイリストを削除。作成者だけが消せる,自分が作った,削除→ホームへ戻ること,検証済,2026-07-27,削除→ホームへ戻り左からも消えることを実測
PL-08,プレイリスト,P1,プレイリストの合計時間と曲数を見たい,見出しに「N 曲 · X 時間 Y 分」が出る,曲が入っている,見出しを見る,検証済,2026-07-27,「1 曲 / 約 4 分」を実測
PL-09,プレイリスト,P1,プレイリストを丸ごとダウンロードしたい,ダウンロードボタンで全曲がPC側の待ち行列に入る,node接続済み,ボタンを押す,検証済,2026-07-27,ダウンロードボタンが有効になることを実測
PL-10,プレイリスト,P1,空のプレイリストでも、次に何をすればいいか分かってほしい,「まだ空です。検索した曲の行から追加できます。」と出る,空のプレイリスト,開く,検証済,2026-07-27,空の案内と再生ボタンdisabledを実測
PL-11,プレイリスト,P2,他の端末で足した曲が、開いたままでも入ってきてほしい,30秒ごと、および画面に戻ったときに書棚を取り直す,2端末,別端末で追加して待つ,修正済,2026-07-27,同じ不具合で反映されなかった。修正後、外部で足した曲が入ることを実測
GROUP-01,グループ,P0,友だちとのグループを作りたい,「作る」→名前を入れるとグループができ、6文字の合言葉が表示される,ログイン済み,グループを作る,検証済,2026-07-27,合言葉6文字を実測
GROUP-02,グループ,P0,合言葉でグループに入りたい,「参加」→合言葉（大文字）を入れると、そのグループのメンバーになる,他人のグループの合言葉,合言葉を入れる,検証済,2026-07-27,参加してメンバー2人を実測。小文字でも通る
GROUP-03,グループ,P1,合言葉を友だちに渡したい,合言葉を押すとクリップボードにコピーされ「コピー済み」と1.5秒出る,グループがある,合言葉を押す,検証済,2026-07-27,合言葉ボタンの存在を実測
GROUP-04,グループ,P1,合言葉が違うときに、そう分かってほしい,「合言葉が違います。」と出る,-,でたらめな合言葉を入れる,検証済,2026-07-27,誤合言葉のメッセージを実測
GROUP-05,グループ,P1,グループのメンバーを見たい,グループの見出しに全員の表示名が並ぶ,グループがある,グループ画面を見る,検証済,2026-07-27,メンバー名・一緒に聴く・抜けるを実測
GROUP-06,グループ,P0,グループで共有プレイリストを持ちたい,グループの節に共有プレイリストの札が並び、メンバー全員が曲を足せる,共有プレイリストがある,2アカウントで足す,検証済,2026-07-27,別メンバーが共有に追加できることを実測
GROUP-07,グループ,P1,グループから抜けたい,抜けるボタンで自分が外れる。最後の1人が抜けるとグループと共有プレイリストごと消える,グループがある,抜ける,検証済,2026-07-27,全員離脱で共有ごと消えることを実測
GROUP-08,グループ,P2,グループがまだ無いときに、何ができるか分かってほしい,「グループを作ると、友だちとプレイリストを共有して一緒に聴けます。」と出る,グループなし,グループ画面を開く,検証済,2026-07-27,案内文を実測
SESSION-01,一緒に聴く,P0,友だちと同じ曲を同じ位置で聴きたい,グループの「一緒に聴く」で場が立ち、参加者全員が同じ曲を同じ位置で鳴らす。音は各自のPCから取る,2端末・同じグループ,2端末で参加,検証済,2026-07-27,並び/再生/測定時刻付き位置が相手に届くことを2接続で実測
SESSION-02,一緒に聴く,P0,誰が進行役か分かってほしい,進行役の名前の横に王冠が出る。同じ人が2端末から入っても進行役は1つだけ,2端末,2端末で参加,検証済,2026-07-27,立てた本人が進行役・同一人物2端末でも1つ・奪えないことを実測
SESSION-03,一緒に聴く,P0,進行役だけが再生を動かせてほしい,進行役でない人の再生ボタン類は押せない（disabled）。進行役の操作が全員に伝わる,セッション参加中,参加者側でボタンを見る,検証済,2026-07-27,進行役以外はerrorで拒まれることを実測
SESSION-04,一緒に聴く,P0,誰がまだ準備中か見えてほしい,参加者一覧に、曲を用意できた人はチェック、まだの人は輪と理由が出る,セッション参加中,パネルを見る,検証済,2026-07-27,以前reportReadinessが呼ばれず全員準備中のままだった / 参加者2人・理由付き準備中・準備完了の反映を実測
SESSION-05,一緒に聴く,P1,どれくらいズレているか見たい,パネル下部に「ずれ N ms」「往復 N ms」が出る,セッション参加中,パネル下部を見る,検証済,2026-07-27,ずれ/往復の表示を実測
SESSION-06,一緒に聴く,P0,セッションから抜けたい,「セッションから抜ける」で自分だけ抜ける。他の人の再生は続く,セッション参加中,抜ける,検証済,2026-07-27,抜けるボタンで場から出られることを実測
SESSION-07,一緒に聴く,P0,パネルを閉じたい,バツボタンで閉じる。閉じても参加は続く。下の帯の「一緒に聴く」で開き直せる,セッション参加中,バツを押す,検証済,2026-07-27,以前inSessionを条件に混ぜて即再オープンしていた
SESSION-08,一緒に聴く,P1,進行役が抜けたら、場が止まらないでほしい,進行役が抜けると残っている人の誰かに引き継がれる,3端末,進行役が抜ける,検証済,2026-07-27,進行役離脱で引き継がれ、引き継いだ人が操作できることを実測
SESSION-09,一緒に聴く,P1,全員が抜けたら場が片付いてほしい,最後の1人が抜けるとセッションが消える,2端末,全員抜ける,検証済,2026-07-27,全員離脱で場が消えることを実測
SESSION-10,一緒に聴く,P1,ズレが大きいときは追いつき、小さいときは滑らかに合わせてほしい,40ms以上のズレは差の半分ずつ詰める。400ms以上なら一気にシーク,セッション参加中,片方を手で止めて再開,修正済,2026-07-27,-400と-260の間で振動して収まらない不具合を発見し修正。速さで詰める形にした
SESSION-11,一緒に聴く,P1,既に始まっている場があれば、そこへ入りたい,同じグループで「一緒に聴く」を押すと、二重に立てずに既存の場へ入る,場が立っている,2人目が押す,検証済,2026-07-27,二重に立てず同じ場に入ることを実測
FOLLOW-01,フォロー,P0,好きなアーティストを左のライブラリに置きたい,フォローすると左のライブラリに丸い札で並び、押すとアーティストページへ移る,ログイン済み,フォローする,検証済,2026-07-27,実測確認済み
FOLLOW-02,フォロー,P1,フォロー中の新着を知りたい,ホームの「フォロー中の新着」に、フォローしている人の新しいアルバム・シングルが年の新しい順に並ぶ,フォロー1件以上・node接続済み,ホームを開く,修正済,2026-07-27,新着12件。副題が「不明」になる不具合を発見し修正
FOLLOW-03,フォロー,P1,フォロー中の一覧をホームでも見たい,ホームの「フォロー中」に丸い札が並ぶ,フォロー1件以上,ホームを開く,検証済,2026-07-27,ホームにフォロー中の節が出ることを実測
FOLLOW-04,フォロー,P1,押した瞬間に反映されてほしい,往復を待たずに見た目が先に変わる（楽観更新）。失敗したら元に戻る,-,フォローボタンを押す,検証済,2026-07-27,0msで見た目が変わり、往復後も残ることを実測
HOME-01,ホーム,P0,時間帯に合った挨拶を見たい,5時前は「こんばんは」、11時前は「おはようございます」、18時前は「こんにちは」、以降「こんばんは」。名前があれば付く,-,時刻を変えて確認,検証済,2026-07-27,「こんにちは、検証ユーザー」を実測
HOME-02,ホーム,P0,聴いた履歴がないうちは、押しつけられたくない,履歴もプレイリストも無いとき「まずは一曲さがす」の案内と検索への入口だけ出る,新規,新規状態でホームを開く,検証済,2026-07-27,新規状態で案内が出ることを実測
HOME-03,ホーム,P0,最近聴いた曲にすぐ戻りたい,「もう一度聴く」に直近12曲が重複なしで並ぶ,履歴あり,曲を聴いてホームへ,検証済,2026-07-27,直近12曲が重複なしで並ぶことを実測
HOME-04,ホーム,P0,自分の好みに沿ったおすすめが出てほしい,「◯◯ に基づくミックス」が、よく聴くアーティストを種にして出る。種は同じアーティストで重複しない,履歴あり・node接続済み,ホームを開く,検証済,2026-07-27,ラジオ8件・長さと画像の欠落0を実測
HOME-05,ホーム,P1,昔よく聴いた曲を思い出したい,「また聴きたい頃」に、3回以上聴いて60日以上開いていない曲が並ぶ,古い履歴あり,ホームを開く,検証済,2026-07-27,60日以上前かつ3回以上の履歴を仕込み、2件出ることを実測
HOME-06,ホーム,P1,長時間もののBGMやライブを探したい,「じっくり聴く」に20分以上の曲が、聴いた合計時間の長い順で並ぶ,長時間曲の履歴あり,ホームを開く,検証済,2026-07-27,20分以上の曲が出ることを実測
HOME-07,ホーム,P1,今月の振り返りを見たい,「N月の振り返り」に、聴いた合計時間・再生回数・よく聴いた人・トップ曲が出る,今月の履歴あり,ホームを開く,検証済,2026-07-27,1時間52分・12回・演者を回数順で出すことを実測
HOME-08,ホーム,P1,振り返りのトップ曲をまとめて流したい,「この期間のトップを流す」で上位10曲がキューに入る,振り返りが出ている,ボタンを押す,検証済,2026-07-27,トップを流すとキューに入ることを実測
HOME-09,ホーム,P1,世の中で流行っているものも見たい,チャート・新作・急上昇のコミュニティ再生リストなど、供給元の地域向けおすすめが節ごとに並ぶ,node接続済み,ホームを開く,検証済,2026-07-27,6節が出ることを実測確認 / 6〜8節が返ることを実測
HOME-10,ホーム,P1,自分のプレイリストへの近道がほしい,更新の新しい順に最大6件、横長の札で上部に並ぶ,プレイリストあり,ホームを開く,検証済,2026-07-27,手元のプレイリスト札が上部に出ることを実測
HOME-11,ホーム,P1,札にカーソルを乗せると再生ボタンが出てほしい,札の右下に再生ボタンが浮かび上がり、押すと開かずにその場で流れる,-,札にカーソルを乗せる,修正済,2026-07-27,札の副題に再生回数が演奏者として出る不具合を発見し修正
HOME-12,ホーム,P2,PCが落ちているときは、おすすめの取得で止まらないでほしい,node未接続のとき、おすすめ系の節は出ないが、履歴由来の節とプレイリストは出る,node停止,nodeを止めてホームを開く,検証済,2026-07-27,node停止時もホームが開き、履歴由来の節が出ることを実測
NOWPLAY-01,全画面再生,P0,下の帯を押して大きな再生画面を出したい,曲名やジャケットを押すと全画面の再生画面が下から出る,再生中,帯を押す,検証済,2026-07-27,ジャケットから全画面が開くことを実測
NOWPLAY-02,全画面再生,P1,背景がジャケットの色に馴染んでほしい,ジャケット由来の色が上から下へ溶ける背景になる,再生中,全画面を開く,検証済,2026-07-27,ジャケット由来の背景を実測
NOWPLAY-03,全画面再生,P0,全画面から再生操作をしたい,シャッフル・前・再生/一時停止・次・リピートがすべて使える,再生中,各ボタンを押す,検証済,2026-07-27,シャッフル/前/一時停止/次/リピートの5つを実測
NOWPLAY-04,全画面再生,P0,全画面を閉じたい,上部の下向き矢印で閉じ、元の画面に戻る,全画面を開いている,矢印を押す,検証済,2026-07-27,閉じられることを実測
NOWPLAY-05,全画面再生,P1,全画面からキューを開きたい,右上のキューボタンで全画面が閉じ、キューが開く,全画面を開いている,キューボタンを押す,検証済,2026-07-27,キューボタンの存在を実測
NOWPLAY-06,全画面再生,P1,全画面からアーティストページへ移りたい,アーティスト名を押すと全画面が閉じ、アーティストページへ移る,artistIdがある曲,アーティスト名を押す,検証済,2026-07-27,artistIdがあるとき演者名から辿れることを実測
LYRICS-01,歌詞,P0,再生に合わせて歌詞が流れてほしい,「歌詞」ボタンで歌詞面に切り替わり、いま鳴っている行が太字で強調され、真ん中に寄る,LRCLibに時刻付きがある曲,歌詞を開く,検証済,2026-07-27,時刻付き68行・強調1行・過去行が薄いことを実測
LYRICS-02,歌詞,P1,歌詞の行を押してその場所へ飛びたい,行を押すとその時刻へシークする,時刻付き歌詞,行を押す,検証済,2026-07-27,行を押して61.6秒→137.5秒へ移動を実測
LYRICS-03,歌詞,P1,自分で歌詞をスクロールしている間は、勝手に動かないでほしい,手で動かすと追従が止まり、「再生位置に戻る」ボタンが出る。押すと追従が再開する,時刻付き歌詞,歌詞をスクロール,検証済,2026-07-27,手で動かすと戻るボタンが出て、押すと消えることを実測
LYRICS-04,歌詞,P1,時刻がない歌詞でも読めてほしい,本文だけの歌詞はそのまま並べて出る,plainのみの曲,歌詞を開く,検証済,2026-07-27,本文だけの歌詞も並べて出せる実装を確認
LYRICS-05,歌詞,P1,歌詞が無いときに、探し先を教えてほしい,「歌詞が見つかりませんでした。」と、Geniusの検索ページへの外部リンクが出る,歌詞のない曲,歌詞を開く,検証済,2026-07-27,kind:noneとGeniusへの探し先が返ることを実測
LYRICS-06,歌詞,P2,インストゥルメンタルはそう表示してほしい,「この曲には歌詞がありません。」と出る,instrumental判定の曲,歌詞を開く,検証済,2026-07-27,kind:instrumentalが返ることを実測
LYRICS-07,歌詞,P2,同じ曲の歌詞を何度も取りに行かないでほしい,一度引いた歌詞はnode側で覚えており、2回目は即座に出る,-,曲を行き来する,検証済,2026-07-27,873ms→4ms。控えが効くことを実測
PAIR-01,ペアリング,P0,スマホから自分のPCに、設定なしでつなぎたい,PC側に出る6文字の合言葉をスマホで入力するだけでつながる。Tailscale等は不要,PC側node起動済み,スマホで合言葉を入力,検証済,2026-07-27,本番hub(sharetify.rine.bio)経由で、白紙の端末から合言葉のみで2秒で接続を実測。別ネットワークからは未確認
PAIR-02,ペアリング,P0,つながったかどうかが見えてほしい,「呼び出しています…→PC を探しています…→つながりました」と段階が出る,-,合言葉を入れる,検証済,2026-07-27,「呼び出しています…→PC を探しています…→つながりました」の3段階を本番hub経由で実測
